2020-10-26 16:55:08,677 INFO    MainThread:23720 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_165508-2atzwo2o\logs\debug.log
2020-10-26 16:55:10,362 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb l2_leaf_reg 13.73605834503891 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9, 'l2_leaf_reg': 13.73605834503891}
2020-10-26 16:55:10,362 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set random_seed = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,362 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb random_seed 32 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9, 'l2_leaf_reg': 13.73605834503891, 'random_seed': 32}
2020-10-26 16:55:10,362 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set verbose = False - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,362 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb verbose False {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9, 'l2_leaf_reg': 13.73605834503891, 'random_seed': 32, 'verbose': False}
2020-10-26 16:55:10,363 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set random_strength = 19.672983487155282 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,363 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb random_strength 19.672983487155282 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9, 'l2_leaf_reg': 13.73605834503891, 'random_seed': 32, 'verbose': False, 'random_strength': 19.672983487155282}
2020-10-26 16:55:10,363 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set bagging_temperature = 1.2945042318743338 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,363 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb bagging_temperature 1.2945042318743338 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9, 'l2_leaf_reg': 13.73605834503891, 'random_seed': 32, 'verbose': False, 'random_strength': 19.672983487155282, 'bagging_temperature': 1.2945042318743338}
2020-10-26 16:55:10,363 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set task_type = GPU - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,363 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb task_type GPU {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9, 'l2_leaf_reg': 13.73605834503891, 'random_seed': 32, 'verbose': False, 'random_strength': 19.672983487155282, 'bagging_temperature': 1.2945042318743338, 'task_type': 'GPU'}
2020-10-26 16:55:10,364 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set n_estimators = 324 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,364 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb n_estimators 324 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9, 'l2_leaf_reg': 13.73605834503891, 'random_seed': 32, 'verbose': False, 'random_strength': 19.672983487155282, 'bagging_temperature': 1.2945042318743338, 'task_type': 'GPU', 'n_estimators': 324}
2020-10-26 16:55:10,364 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set grow_policy = SymmetricTree - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,365 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb grow_policy SymmetricTree {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9, 'l2_leaf_reg': 13.73605834503891, 'random_seed': 32, 'verbose': False, 'random_strength': 19.672983487155282, 'bagging_temperature': 1.2945042318743338, 'task_type': 'GPU', 'n_estimators': 324, 'grow_policy': 'SymmetricTree'}
2020-10-26 16:55:10,365 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set min_data_in_leaf = 18 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,365 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb min_data_in_leaf 18 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9, 'l2_leaf_reg': 13.73605834503891, 'random_seed': 32, 'verbose': False, 'random_strength': 19.672983487155282, 'bagging_temperature': 1.2945042318743338, 'task_type': 'GPU', 'n_estimators': 324, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 18}
2020-10-26 16:55:10,365 INFO    MainThread:23720 [wandb_run.py:finish():988] finishing run srosy/runs-from-for-loop/2atzwo2o
