2020-10-26 13:57:29,529 INFO    MainThread:12940 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_135729-gfbzmka1\logs\debug.log
2020-10-26 13:57:31,239 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb class_weight {0: 1, 1: 34} {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}}
2020-10-26 13:57:31,240 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set colsample_bytree = 1.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,240 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb colsample_bytree 1.0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0}
2020-10-26 13:57:31,240 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set importance_type = split - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,240 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb importance_type split {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split'}
2020-10-26 13:57:31,240 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set learning_rate = 0.4433063575863754 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,240 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb learning_rate 0.4433063575863754 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754}
2020-10-26 13:57:31,241 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set max_depth = -1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,241 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb max_depth -1 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1}
2020-10-26 13:57:31,241 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_child_samples = 65 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,241 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_child_samples 65 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65}
2020-10-26 13:57:31,241 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_child_weight = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,242 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_child_weight 0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0}
2020-10-26 13:57:31,242 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_split_gain = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,242 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_split_gain 0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0}
2020-10-26 13:57:31,242 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set n_estimators = 166 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,243 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb n_estimators 166 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166}
2020-10-26 13:57:31,243 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set n_jobs = -1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,243 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb n_jobs -1 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1}
2020-10-26 13:57:31,243 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set num_leaves = 3 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,243 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb num_leaves 3 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1, 'num_leaves': 3}
2020-10-26 13:57:31,244 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set objective = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,244 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb objective None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1, 'num_leaves': 3, 'objective': None}
2020-10-26 13:57:31,244 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set random_state = 2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,244 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb random_state 2 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1, 'num_leaves': 3, 'objective': None, 'random_state': 2}
2020-10-26 13:57:31,245 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set reg_alpha = 0.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,245 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb reg_alpha 0.0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1, 'num_leaves': 3, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0}
2020-10-26 13:57:31,245 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set reg_lambda = 0.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,246 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb reg_lambda 0.0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1, 'num_leaves': 3, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0}
2020-10-26 13:57:31,246 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set silent = True - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,246 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb silent True {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1, 'num_leaves': 3, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True}
2020-10-26 13:57:31,246 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set subsample = 1.638434933479537e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,247 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb subsample 1.638434933479537e-05 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1, 'num_leaves': 3, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.638434933479537e-05}
2020-10-26 13:57:31,247 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set subsample_for_bin = 10000 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,247 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb subsample_for_bin 10000 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1, 'num_leaves': 3, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.638434933479537e-05, 'subsample_for_bin': 10000}
2020-10-26 13:57:31,247 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set subsample_freq = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E640C400>>
2020-10-26 13:57:31,247 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb subsample_freq 0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 34}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.4433063575863754, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 166, 'n_jobs': -1, 'num_leaves': 3, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.638434933479537e-05, 'subsample_for_bin': 10000, 'subsample_freq': 0}
2020-10-26 13:57:31,248 INFO    MainThread:12940 [wandb_run.py:finish():988] finishing run srosy/runs-from-for-loop/gfbzmka1
