2020-10-26 17:33:22,203 INFO    MainThread:23720 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_173322-23tsc8hb\logs\debug.log
2020-10-26 17:33:23,896 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb random_strength 14.788506672478013 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4, 'l2_leaf_reg': 11.12305238256576, 'random_seed': 32, 'verbose': False, 'random_strength': 14.788506672478013}
2020-10-26 17:33:23,896 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set bagging_temperature = 6.976456448279041 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,897 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb bagging_temperature 6.976456448279041 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4, 'l2_leaf_reg': 11.12305238256576, 'random_seed': 32, 'verbose': False, 'random_strength': 14.788506672478013, 'bagging_temperature': 6.976456448279041}
2020-10-26 17:33:23,897 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set task_type = GPU - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,897 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb task_type GPU {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4, 'l2_leaf_reg': 11.12305238256576, 'random_seed': 32, 'verbose': False, 'random_strength': 14.788506672478013, 'bagging_temperature': 6.976456448279041, 'task_type': 'GPU'}
2020-10-26 17:33:23,897 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set n_estimators = 97 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,897 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb n_estimators 97 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4, 'l2_leaf_reg': 11.12305238256576, 'random_seed': 32, 'verbose': False, 'random_strength': 14.788506672478013, 'bagging_temperature': 6.976456448279041, 'task_type': 'GPU', 'n_estimators': 97}
2020-10-26 17:33:23,898 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set grow_policy = SymmetricTree - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,898 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb grow_policy SymmetricTree {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4, 'l2_leaf_reg': 11.12305238256576, 'random_seed': 32, 'verbose': False, 'random_strength': 14.788506672478013, 'bagging_temperature': 6.976456448279041, 'task_type': 'GPU', 'n_estimators': 97, 'grow_policy': 'SymmetricTree'}
2020-10-26 17:33:23,898 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set min_data_in_leaf = 19 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,898 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb min_data_in_leaf 19 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4, 'l2_leaf_reg': 11.12305238256576, 'random_seed': 32, 'verbose': False, 'random_strength': 14.788506672478013, 'bagging_temperature': 6.976456448279041, 'task_type': 'GPU', 'n_estimators': 97, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 19}
2020-10-26 17:33:23,899 INFO    MainThread:23720 [wandb_run.py:finish():988] finishing run srosy/runs-from-for-loop/23tsc8hb
