2020-10-26 16:31:50,725 INFO    MainThread:23708 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_163150-2apzhv0y\logs\debug.log
2020-10-26 16:31:52,431 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set random_strength = 8.007656114037516 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,431 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb random_strength 8.007656114037516 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3, 'l2_leaf_reg': 26.479235719083498, 'random_seed': 32, 'verbose': False, 'random_strength': 8.007656114037516}
2020-10-26 16:31:52,432 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set bagging_temperature = 5.030831653078097 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,432 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb bagging_temperature 5.030831653078097 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3, 'l2_leaf_reg': 26.479235719083498, 'random_seed': 32, 'verbose': False, 'random_strength': 8.007656114037516, 'bagging_temperature': 5.030831653078097}
2020-10-26 16:31:52,432 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set task_type = GPU - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,432 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb task_type GPU {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3, 'l2_leaf_reg': 26.479235719083498, 'random_seed': 32, 'verbose': False, 'random_strength': 8.007656114037516, 'bagging_temperature': 5.030831653078097, 'task_type': 'GPU'}
2020-10-26 16:31:52,432 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set n_estimators = 72 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,432 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb n_estimators 72 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3, 'l2_leaf_reg': 26.479235719083498, 'random_seed': 32, 'verbose': False, 'random_strength': 8.007656114037516, 'bagging_temperature': 5.030831653078097, 'task_type': 'GPU', 'n_estimators': 72}
2020-10-26 16:31:52,433 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set grow_policy = Lossguide - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,433 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb grow_policy Lossguide {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3, 'l2_leaf_reg': 26.479235719083498, 'random_seed': 32, 'verbose': False, 'random_strength': 8.007656114037516, 'bagging_temperature': 5.030831653078097, 'task_type': 'GPU', 'n_estimators': 72, 'grow_policy': 'Lossguide'}
2020-10-26 16:31:52,434 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set min_data_in_leaf = 12 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,434 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb min_data_in_leaf 12 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3, 'l2_leaf_reg': 26.479235719083498, 'random_seed': 32, 'verbose': False, 'random_strength': 8.007656114037516, 'bagging_temperature': 5.030831653078097, 'task_type': 'GPU', 'n_estimators': 72, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 12}
2020-10-26 16:31:52,434 INFO    MainThread:23708 [wandb_run.py:finish():988] finishing run srosy/runs-from-for-loop/2apzhv0y
