2020-10-26 18:22:52,098 INFO    MainThread:23720 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_182252-37rxp2b1\logs\debug.log
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb random_seed 32 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6, 'l2_leaf_reg': 12.988488864073794, 'random_seed': 32}
2020-10-26 18:22:53,847 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set verbose = False - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,847 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb verbose False {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6, 'l2_leaf_reg': 12.988488864073794, 'random_seed': 32, 'verbose': False}
2020-10-26 18:22:53,847 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set random_strength = 19.857058111766527 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,847 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb random_strength 19.857058111766527 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6, 'l2_leaf_reg': 12.988488864073794, 'random_seed': 32, 'verbose': False, 'random_strength': 19.857058111766527}
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set bagging_temperature = 8.902308144258964 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb bagging_temperature 8.902308144258964 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6, 'l2_leaf_reg': 12.988488864073794, 'random_seed': 32, 'verbose': False, 'random_strength': 19.857058111766527, 'bagging_temperature': 8.902308144258964}
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set task_type = GPU - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb task_type GPU {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6, 'l2_leaf_reg': 12.988488864073794, 'random_seed': 32, 'verbose': False, 'random_strength': 19.857058111766527, 'bagging_temperature': 8.902308144258964, 'task_type': 'GPU'}
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set n_estimators = 347 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb n_estimators 347 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6, 'l2_leaf_reg': 12.988488864073794, 'random_seed': 32, 'verbose': False, 'random_strength': 19.857058111766527, 'bagging_temperature': 8.902308144258964, 'task_type': 'GPU', 'n_estimators': 347}
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set grow_policy = Depthwise - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb grow_policy Depthwise {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6, 'l2_leaf_reg': 12.988488864073794, 'random_seed': 32, 'verbose': False, 'random_strength': 19.857058111766527, 'bagging_temperature': 8.902308144258964, 'task_type': 'GPU', 'n_estimators': 347, 'grow_policy': 'Depthwise'}
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set min_data_in_leaf = 14 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,848 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb min_data_in_leaf 14 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6, 'l2_leaf_reg': 12.988488864073794, 'random_seed': 32, 'verbose': False, 'random_strength': 19.857058111766527, 'bagging_temperature': 8.902308144258964, 'task_type': 'GPU', 'n_estimators': 347, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 14}
2020-10-26 18:22:53,849 INFO    MainThread:23720 [wandb_run.py:finish():988] finishing run srosy/runs-from-for-loop/37rxp2b1
